seed,width,depth,bits,acc_float,acc_quant,acc_oracle,acc_learned
42,4,2,8,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.5774999856948853
42,4,2,4,0.5899999737739563,0.5799999833106995,0.5799999833106995,0.5724999904632568
42,4,4,8,0.6474999785423279,0.6225000023841858,0.6424999833106995,0.6549999713897705
42,4,4,4,0.6474999785423279,0.4925000071525574,0.6474999785423279,0.5400000214576721
42,4,6,8,0.6650000214576721,0.5774999856948853,0.6650000214576721,0.6575000286102295
42,4,6,4,0.6650000214576721,0.5550000071525574,0.6650000214576721,0.5274999737739563
42,4,8,8,0.5774999856948853,0.5724999904632568,0.6025000214576721,0.574999988079071
42,4,8,4,0.5774999856948853,0.4925000071525574,0.5375000238418579,0.5099999904632568
42,4,10,8,0.6150000095367432,0.5375000238418579,0.6299999952316284,0.574999988079071
42,4,10,4,0.6150000095367432,0.48249998688697815,0.5899999737739563,0.5375000238418579
42,8,2,8,0.7024999856948853,0.6850000023841858,0.6850000023841858,0.6700000166893005
42,8,2,4,0.7024999856948853,0.5224999785423279,0.5224999785423279,0.512499988079071
42,8,4,8,0.7524999976158142,0.7149999737739563,0.7450000047683716,0.6924999952316284
42,8,4,4,0.7524999976158142,0.512499988079071,0.6875,0.6524999737739563
42,8,6,8,0.8575000166893005,0.7774999737739563,0.8575000166893005,0.7649999856948853
42,8,6,4,0.8575000166893005,0.4950000047683716,0.8575000166893005,0.5699999928474426
42,8,8,8,0.862500011920929,0.8600000143051147,0.875,0.7925000190734863
42,8,8,4,0.862500011920929,0.5299999713897705,0.7699999809265137,0.5325000286102295
42,8,10,8,0.9300000071525574,0.8050000071525574,0.9275000095367432,0.8075000047683716
42,8,10,4,0.9300000071525574,0.512499988079071,0.5149999856948853,0.5600000023841858
42,16,2,8,0.7674999833106995,0.7350000143051147,0.7350000143051147,0.7425000071525574
42,16,2,4,0.7674999833106995,0.6424999833106995,0.6424999833106995,0.6575000286102295
42,16,4,8,0.9549999833106995,0.9350000023841858,0.9449999928474426,0.9424999952316284
42,16,4,4,0.9549999833106995,0.47999998927116394,0.8700000047683716,0.6875
42,16,6,8,0.9599999785423279,0.8700000047683716,0.9599999785423279,0.925000011920929
42,16,6,4,0.9599999785423279,0.5299999713897705,0.9599999785423279,0.6449999809265137
42,16,8,8,0.9449999928474426,0.9200000166893005,0.949999988079071,0.9325000047683716
42,16,8,4,0.9449999928474426,0.5550000071525574,0.9150000214576721,0.6175000071525574
42,16,10,8,0.925000011920929,0.8199999928474426,0.925000011920929,0.9175000190734863
42,16,10,4,0.925000011920929,0.5199999809265137,0.8799999952316284,0.5625
42,32,2,8,0.9449999928474426,0.9075000286102295,0.9075000286102295,0.9375
42,32,2,4,0.9449999928474426,0.5174999833106995,0.5174999833106995,0.612500011920929
42,32,4,8,0.9649999737739563,0.949999988079071,0.9674999713897705,0.9649999737739563
42,32,4,4,0.9649999737739563,0.5649999976158142,0.9175000190734863,0.6899999976158142
42,32,6,8,0.9674999713897705,0.9649999737739563,0.9674999713897705,0.9624999761581421
42,32,6,4,0.9674999713897705,0.5174999833106995,0.9674999713897705,0.7450000047683716
42,32,8,8,0.9674999713897705,0.9624999761581421,0.9700000286102295,0.9725000262260437
42,32,8,4,0.9674999713897705,0.6524999737739563,0.9024999737739563,0.7674999833106995
42,32,10,8,0.9700000286102295,0.9700000286102295,0.9700000286102295,0.9599999785423279
42,32,10,4,0.9700000286102295,0.5625,0.9700000286102295,0.7250000238418579
42,64,2,8,0.9725000262260437,0.9725000262260437,0.9725000262260437,0.9649999737739563
42,64,2,4,0.9725000262260437,0.6449999809265137,0.6449999809265137,0.75
42,64,4,8,0.9775000214576721,0.9649999737739563,0.9750000238418579,0.9624999761581421
42,64,4,4,0.9775000214576721,0.7149999737739563,0.9574999809265137,0.8824999928474426
42,64,6,8,0.7749999761581421,0.7774999737739563,0.7749999761581421,0.9549999833106995
42,64,6,4,0.7749999761581421,0.5475000143051147,0.7749999761581421,0.8075000047683716
42,64,8,8,0.675000011920929,0.6625000238418579,0.6775000095367432,0.9524999856948853
42,64,8,4,0.675000011920929,0.5249999761581421,0.5249999761581421,0.6675000190734863
42,64,10,8,0.8849999904632568,0.8675000071525574,0.8824999928474426,0.9474999904632568
42,64,10,4,0.8849999904632568,0.512499988079071,0.8274999856948853,0.7925000190734863
42,128,2,8,0.9599999785423279,0.9624999761581421,0.9624999761581421,0.9574999809265137
42,128,2,4,0.9599999785423279,0.6100000143051147,0.6100000143051147,0.862500011920929
42,128,4,8,0.9674999713897705,0.9674999713897705,0.9674999713897705,0.9674999713897705
42,128,4,4,0.9674999713897705,0.5774999856948853,0.9674999713897705,0.9125000238418579
42,128,6,8,0.9549999833106995,0.9574999809265137,0.9549999833106995,0.9574999809265137
42,128,6,4,0.9549999833106995,0.6050000190734863,0.9549999833106995,0.9024999737739563
42,128,8,8,0.875,0.8700000047683716,0.8799999952316284,0.9524999856948853
42,128,8,4,0.875,0.5450000166893005,0.8924999833106995,0.8475000262260437
42,128,10,8,0.9624999761581421,0.9624999761581421,0.9649999737739563,0.9649999737739563
42,128,10,4,0.9624999761581421,0.6675000190734863,0.9649999737739563,0.9449999928474426
123,4,2,8,0.5699999928474426,0.5699999928474426,0.5699999928474426,0.5625
123,4,2,4,0.5699999928474426,0.48500001430511475,0.48500001430511475,0.48500001430511475
123,4,4,8,0.6600000262260437,0.6650000214576721,0.6600000262260437,0.6575000286102295
123,4,4,4,0.6600000262260437,0.5400000214576721,0.6825000047683716,0.5074999928474426
123,4,6,8,0.5924999713897705,0.5450000166893005,0.5924999713897705,0.5649999976158142
123,4,6,4,0.5924999713897705,0.5274999737739563,0.5924999713897705,0.5950000286102295
123,4,8,8,0.7350000143051147,0.699999988079071,0.7250000238418579,0.6575000286102295
123,4,8,4,0.7350000143051147,0.5400000214576721,0.6974999904632568,0.5099999904632568
123,4,10,8,0.6324999928474426,0.6225000023841858,0.6324999928474426,0.6324999928474426
123,4,10,4,0.6324999928474426,0.5199999809265137,0.6575000286102295,0.5450000166893005
123,8,2,8,0.6549999713897705,0.6575000286102295,0.6575000286102295,0.6625000238418579
123,8,2,4,0.6549999713897705,0.5475000143051147,0.5475000143051147,0.5699999928474426
123,8,4,8,0.6875,0.7074999809265137,0.7300000190734863,0.7024999856948853
123,8,4,4,0.6875,0.4724999964237213,0.6625000238418579,0.5724999904632568
123,8,6,8,0.8899999856948853,0.8475000262260437,0.8899999856948853,0.8149999976158142
123,8,6,4,0.8899999856948853,0.5174999833106995,0.8899999856948853,0.5425000190734863
123,8,8,8,0.6775000095367432,0.6650000214576721,0.6825000047683716,0.6575000286102295
123,8,8,4,0.6775000095367432,0.5174999833106995,0.5975000262260437,0.5
123,8,10,8,0.8550000190734863,0.7049999833106995,0.8550000190734863,0.7799999713897705
123,8,10,4,0.8550000190734863,0.5550000071525574,0.8450000286102295,0.5099999904632568
123,16,2,8,0.7574999928474426,0.7200000286102295,0.7200000286102295,0.762499988079071
123,16,2,4,0.7574999928474426,0.550000011920929,0.550000011920929,0.5024999976158142
123,16,4,8,0.9725000262260437,0.9549999833106995,0.9674999713897705,0.9474999904632568
123,16,4,4,0.9725000262260437,0.5024999976158142,0.9150000214576721,0.7174999713897705
123,16,6,8,0.9399999976158142,0.9150000214576721,0.9399999976158142,0.949999988079071
123,16,6,4,0.9399999976158142,0.550000011920929,0.9399999976158142,0.6424999833106995
123,16,8,8,0.9700000286102295,0.9300000071525574,0.9674999713897705,0.9574999809265137
123,16,8,4,0.9700000286102295,0.5849999785423279,0.8475000262260437,0.6025000214576721
123,16,10,8,0.7825000286102295,0.6150000095367432,0.7549999952316284,0.7975000143051147
123,16,10,4,0.7825000286102295,0.5400000214576721,0.699999988079071,0.46000000834465027
123,32,2,8,0.925000011920929,0.8650000095367432,0.8650000095367432,0.887499988079071
123,32,2,4,0.925000011920929,0.5774999856948853,0.5774999856948853,0.6800000071525574
123,32,4,8,0.9624999761581421,0.9474999904632568,0.9624999761581421,0.949999988079071
123,32,4,4,0.9624999761581421,0.6299999952316284,0.9325000047683716,0.8050000071525574
123,32,6,8,0.9649999737739563,0.9574999809265137,0.9649999737739563,0.9574999809265137
123,32,6,4,0.9649999737739563,0.612500011920929,0.9649999737739563,0.7174999713897705
123,32,8,8,0.9574999809265137,0.9574999809265137,0.9599999785423279,0.9599999785423279
123,32,8,4,0.9574999809265137,0.5400000214576721,0.9300000071525574,0.6025000214576721
123,32,10,8,0.9524999856948853,0.9474999904632568,0.949999988079071,0.949999988079071
123,32,10,4,0.9524999856948853,0.5325000286102295,0.949999988079071,0.5849999785423279
123,64,2,8,0.9624999761581421,0.9524999856948853,0.9524999856948853,0.9599999785423279
123,64,2,4,0.9624999761581421,0.5,0.5,0.8025000095367432
123,64,4,8,0.9750000238418579,0.9825000166893005,0.9725000262260437,0.9725000262260437
123,64,4,4,0.9750000238418579,0.6274999976158142,0.9725000262260437,0.9075000286102295
123,64,6,8,0.9725000262260437,0.9700000286102295,0.9725000262260437,0.9574999809265137
123,64,6,4,0.9725000262260437,0.5274999737739563,0.9725000262260437,0.7549999952316284
123,64,8,8,0.9549999833106995,0.9574999809265137,0.9549999833106995,0.9449999928474426
123,64,8,4,0.9549999833106995,0.6349999904632568,0.9549999833106995,0.8475000262260437
123,64,10,8,0.9649999737739563,0.9599999785423279,0.9649999737739563,0.9574999809265137
123,64,10,4,0.9649999737739563,0.6200000047683716,0.9574999809265137,0.9125000238418579
123,128,2,8,0.9624999761581421,0.9649999737739563,0.9649999737739563,0.9549999833106995
123,128,2,4,0.9624999761581421,0.7074999809265137,0.7074999809265137,0.9325000047683716
123,128,4,8,0.9599999785423279,0.9549999833106995,0.9574999809265137,0.9524999856948853
123,128,4,4,0.9599999785423279,0.5325000286102295,0.9449999928474426,0.8924999833106995
123,128,6,8,0.9624999761581421,0.9549999833106995,0.9624999761581421,0.9649999737739563
123,128,6,4,0.9624999761581421,0.5600000023841858,0.9624999761581421,0.8224999904632568
123,128,8,8,0.9674999713897705,0.9649999737739563,0.9725000262260437,0.9649999737739563
123,128,8,4,0.9674999713897705,0.6025000214576721,0.9350000023841858,0.9024999737739563
123,128,10,8,0.8274999856948853,0.8374999761581421,0.8450000286102295,0.9524999856948853
123,128,10,4,0.8274999856948853,0.574999988079071,0.8274999856948853,0.8899999856948853
999,4,2,8,0.5550000071525574,0.5525000095367432,0.5525000095367432,0.550000011920929
999,4,2,4,0.5550000071525574,0.5274999737739563,0.5274999737739563,0.4625000059604645
999,4,4,8,0.6499999761581421,0.6050000190734863,0.6575000286102295,0.6175000071525574
999,4,4,4,0.6499999761581421,0.5074999928474426,0.6225000023841858,0.5299999713897705
999,4,6,8,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.48500001430511475
999,4,6,4,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.48500001430511475
999,4,8,8,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.5450000166893005
999,4,8,4,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.550000011920929
999,4,10,8,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.48500001430511475
999,4,10,4,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.48500001430511475
999,8,2,8,0.6800000071525574,0.6625000238418579,0.6625000238418579,0.6825000047683716
999,8,2,4,0.6800000071525574,0.47749999165534973,0.47749999165534973,0.4699999988079071
999,8,4,8,0.6225000023841858,0.6499999761581421,0.6524999737739563,0.6600000262260437
999,8,4,4,0.6225000023841858,0.5600000023841858,0.5425000190734863,0.6075000166893005
999,8,6,8,0.9125000238418579,0.8424999713897705,0.9125000238418579,0.8725000023841858
999,8,6,4,0.9125000238418579,0.5425000190734863,0.9125000238418579,0.5375000238418579
999,8,8,8,0.8324999809265137,0.800000011920929,0.8324999809265137,0.8399999737739563
999,8,8,4,0.8324999809265137,0.5525000095367432,0.7774999737739563,0.5099999904632568
999,8,10,8,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.612500011920929
999,8,10,4,0.48500001430511475,0.48500001430511475,0.48500001430511475,0.5849999785423279
999,16,2,8,0.7149999737739563,0.6974999904632568,0.6974999904632568,0.7124999761581421
999,16,2,4,0.7149999737739563,0.4925000071525574,0.4925000071525574,0.5975000262260437
999,16,4,8,0.9474999904632568,0.8799999952316284,0.9399999976158142,0.9424999952316284
999,16,4,4,0.9474999904632568,0.5299999713897705,0.75,0.675000011920929
999,16,6,8,0.8774999976158142,0.875,0.8774999976158142,0.9325000047683716
999,16,6,4,0.8774999976158142,0.5674999952316284,0.8774999976158142,0.5899999737739563
999,16,8,8,0.9674999713897705,0.9325000047683716,0.9674999713897705,0.9399999976158142
999,16,8,4,0.9674999713897705,0.5099999904632568,0.9049999713897705,0.5400000214576721
999,16,10,8,0.9624999761581421,0.9424999952316284,0.9624999761581421,0.9549999833106995
999,16,10,4,0.9624999761581421,0.5049999952316284,0.8650000095367432,0.5525000095367432
999,32,2,8,0.9674999713897705,0.9100000262260437,0.9100000262260437,0.9300000071525574
999,32,2,4,0.9674999713897705,0.5400000214576721,0.5400000214576721,0.6725000143051147
999,32,4,8,0.9674999713897705,0.949999988079071,0.9674999713897705,0.9725000262260437
999,32,4,4,0.9674999713897705,0.6150000095367432,0.8725000023841858,0.7674999833106995
