seed,width,depth,rounding,bits,final_train_acc,final_test_acc,best_test_acc,final_loss
42,8,8,ceil,8,0.6568750143051147,0.5975000262260437,0.6000000238418579,0.6823322176933289
42,8,8,ceil,4,0.7368749976158142,0.6974999904632568,0.7200000286102295,0.5781598687171936
42,8,10,nearest,8,0.6137499809265137,0.5699999928474426,0.5849999785423279,0.6833719611167908
42,8,10,nearest,4,0.793749988079071,0.7124999761581421,0.7425000071525574,0.5865962505340576
42,8,10,floor,8,0.6556249856948853,0.5899999737739563,0.5874999761581421,0.6775509119033813
42,8,10,floor,4,0.7300000190734863,0.6725000143051147,0.6899999976158142,0.6066314578056335
42,8,10,ceil,8,0.5037500262260437,0.48500001430511475,0.5149999856948853,0.692385196685791
42,8,10,ceil,4,0.7331249713897705,0.6800000071525574,0.7350000143051147,0.6128587126731873
42,16,2,nearest,8,0.6293749809265137,0.5475000143051147,0.5649999976158142,0.6838695406913757
42,16,2,nearest,4,0.8443750143051147,0.7699999809265137,0.824999988079071,0.4633205831050873
42,16,2,floor,8,0.6231250166893005,0.5224999785423279,0.5625,0.6908746957778931
42,16,2,floor,4,0.8556249737739563,0.8025000095367432,0.8374999761581421,0.41205543279647827
42,16,2,ceil,8,0.621874988079071,0.5274999737739563,0.5575000047683716,0.6795011162757874
42,16,2,ceil,4,0.7662500143051147,0.75,0.762499988079071,0.5125696659088135
42,16,4,nearest,8,0.6762499809265137,0.5824999809265137,0.6025000214576721,0.6287457942962646
42,16,4,nearest,4,0.8974999785423279,0.8274999856948853,0.8424999713897705,0.39090633392333984
42,16,4,floor,8,0.6800000071525574,0.612500011920929,0.6349999904632568,0.5952966809272766
42,16,4,floor,4,0.8450000286102295,0.8050000071525574,0.8100000023841858,0.4176586866378784
42,16,4,ceil,8,0.6700000166893005,0.5625,0.6000000238418579,0.6109013557434082
42,16,4,ceil,4,0.8062499761581421,0.7825000286102295,0.8075000047683716,0.45925968885421753
42,16,6,nearest,8,0.9118750095367432,0.8824999928474426,0.8924999833106995,0.3188612461090088
42,16,6,nearest,4,0.8087499737739563,0.7674999833106995,0.8075000047683716,0.4810537099838257
42,16,6,floor,8,0.8525000214576721,0.7950000166893005,0.7975000143051147,0.3955623209476471
42,16,6,floor,4,0.8262500166893005,0.762499988079071,0.7799999713897705,0.4838402569293976
42,16,6,ceil,8,0.8924999833106995,0.8199999928474426,0.8174999952316284,0.36982810497283936
42,16,6,ceil,4,0.731249988079071,0.6499999761581421,0.7099999785423279,0.6131110191345215
42,16,8,nearest,8,0.7893750071525574,0.7124999761581421,0.7300000190734863,0.5508679747581482
42,16,8,nearest,4,0.8349999785423279,0.7799999713897705,0.7975000143051147,0.48932257294654846
42,16,8,floor,8,0.7450000047683716,0.6549999713897705,0.6825000047683716,0.6034303903579712
42,16,8,floor,4,0.8137500286102295,0.737500011920929,0.7925000190734863,0.5278158783912659
42,16,8,ceil,8,0.8324999809265137,0.7674999833106995,0.7799999713897705,0.48054978251457214
42,16,8,ceil,4,0.8181250095367432,0.7749999761581421,0.8100000023841858,0.4349175691604614
42,16,10,nearest,8,0.7243750095367432,0.6399999856948853,0.6449999809265137,0.6107169389724731
42,16,10,nearest,4,0.8162500262260437,0.7524999976158142,0.7825000286102295,0.538179337978363
42,16,10,floor,8,0.7124999761581421,0.6725000143051147,0.6875,0.5613919496536255
42,16,10,floor,4,0.7818750143051147,0.7149999737739563,0.7425000071525574,0.5597842931747437
42,16,10,ceil,8,0.7749999761581421,0.7049999833106995,0.7275000214576721,0.5450261831283569
42,16,10,ceil,4,0.7887499928474426,0.7275000214576721,0.7774999737739563,0.5508358478546143
42,32,2,nearest,8,0.7068750262260437,0.574999988079071,0.5874999761581421,0.6126930713653564
42,32,2,nearest,4,0.8987500071525574,0.8500000238418579,0.8600000143051147,0.3472093343734741
42,32,2,floor,8,0.6875,0.5475000143051147,0.5600000023841858,0.6277801990509033
42,32,2,floor,4,0.9143750071525574,0.8550000190734863,0.875,0.31372910737991333
42,32,2,ceil,8,0.7356250286102295,0.6050000190734863,0.6100000143051147,0.5832135081291199
42,32,2,ceil,4,0.84375,0.7875000238418579,0.8274999856948853,0.42752712965011597
42,32,4,nearest,8,0.9387500286102295,0.9049999713897705,0.9150000214576721,0.25000324845314026
42,32,4,nearest,4,0.8587499856948853,0.8349999785423279,0.8500000238418579,0.3581751883029938
42,32,4,floor,8,0.956250011920929,0.9175000190734863,0.9150000214576721,0.23967590928077698
42,32,4,floor,4,0.8768749833106995,0.8424999713897705,0.862500011920929,0.35963496565818787
42,32,4,ceil,8,0.9762499928474426,0.9524999856948853,0.9574999809265137,0.16935747861862183
42,32,4,ceil,4,0.8262500166893005,0.762499988079071,0.8299999833106995,0.44889771938323975
42,32,6,nearest,8,0.9793750047683716,0.9599999785423279,0.9624999761581421,0.1254107803106308
42,32,6,nearest,4,0.8887500166893005,0.8125,0.8475000262260437,0.4155510365962982
42,32,6,floor,8,0.9750000238418579,0.9549999833106995,0.9624999761581421,0.13698066771030426
42,32,6,floor,4,0.9081249833106995,0.8675000071525574,0.8974999785423279,0.30767935514450073
42,32,6,ceil,8,0.9781249761581421,0.9599999785423279,0.9649999737739563,0.09926220029592514
42,32,6,ceil,4,0.7987499833106995,0.7724999785423279,0.8274999856948853,0.4113155007362366
42,32,8,nearest,8,0.9762499928474426,0.9474999904632568,0.9574999809265137,0.15483759343624115
42,32,8,nearest,4,0.824999988079071,0.7925000190734863,0.8125,0.4267432689666748
42,32,8,floor,8,0.9756249785423279,0.9524999856948853,0.9599999785423279,0.12498239427804947
42,32,8,floor,4,0.7818750143051147,0.7475000023841858,0.7574999928474426,0.4691237509250641
42,32,8,ceil,8,0.9743750095367432,0.9474999904632568,0.9624999761581421,0.12294439226388931
42,32,8,ceil,4,0.7931249737739563,0.7174999713897705,0.7724999785423279,0.5666940212249756
42,32,10,nearest,8,0.9468749761581421,0.9275000095367432,0.9275000095367432,0.2456616759300232
42,32,10,nearest,4,0.8018749952316284,0.7749999761581421,0.8224999904632568,0.3875417709350586
42,32,10,floor,8,0.9574999809265137,0.9300000071525574,0.9474999904632568,0.20225884020328522
42,32,10,floor,4,0.8868749737739563,0.8575000166893005,0.8799999952316284,0.34509167075157166
42,32,10,ceil,8,0.8525000214576721,0.8174999952316284,0.8324999809265137,0.36220669746398926
42,32,10,ceil,4,0.7400000095367432,0.6949999928474426,0.7325000166893005,0.572338342666626
42,64,2,nearest,8,0.7587500214576721,0.6524999737739563,0.6549999713897705,0.5525411367416382
42,64,2,nearest,4,0.953125,0.9150000214576721,0.9300000071525574,0.23157507181167603
42,64,2,floor,8,0.7300000190734863,0.5950000286102295,0.6150000095367432,0.587924599647522
42,64,2,floor,4,0.9331250190734863,0.8725000023841858,0.8924999833106995,0.2837844789028168
42,64,2,ceil,8,0.765625,0.625,0.6324999928474426,0.5597956776618958
42,64,2,ceil,4,0.9281250238418579,0.8799999952316284,0.8824999928474426,0.3137500286102295
42,64,4,nearest,8,0.9850000143051147,0.9700000286102295,0.9775000214576721,0.07845023274421692
42,64,4,nearest,4,0.9300000071525574,0.875,0.8974999785423279,0.3091244101524353
42,64,4,floor,8,0.9893749952316284,0.9700000286102295,0.9750000238418579,0.08822481334209442
42,64,4,floor,4,0.8656250238418579,0.8374999761581421,0.8774999976158142,0.37803101539611816
42,64,4,ceil,8,0.9881250262260437,0.9624999761581421,0.9775000214576721,0.08320287615060806
42,64,4,ceil,4,0.9087499976158142,0.8799999952316284,0.9075000286102295,0.28258568048477173
42,64,6,nearest,8,0.9881250262260437,0.9649999737739563,0.9750000238418579,0.09344938397407532
42,64,6,nearest,4,0.9275000095367432,0.8725000023841858,0.8974999785423279,0.26762375235557556
42,64,6,floor,8,0.9906250238418579,0.9624999761581421,0.9750000238418579,0.12846103310585022
42,64,6,floor,4,0.8968750238418579,0.8575000166893005,0.8999999761581421,0.3812153935432434
42,64,6,ceil,8,0.9862499833106995,0.9524999856948853,0.9750000238418579,0.1408858448266983
42,64,6,ceil,4,0.8993750214576721,0.8374999761581421,0.8700000047683716,0.3670157194137573
42,64,8,nearest,8,0.9906250238418579,0.9649999737739563,0.9725000262260437,0.12751096487045288
42,64,8,nearest,4,0.9068750143051147,0.862500011920929,0.887499988079071,0.3566964268684387
42,64,8,floor,8,0.9862499833106995,0.9599999785423279,0.9725000262260437,0.09622491896152496
42,64,8,floor,4,0.8581249713897705,0.8424999713897705,0.8475000262260437,0.36953476071357727
42,64,8,ceil,8,0.9881250262260437,0.9474999904632568,0.9649999737739563,0.1594046950340271
42,64,8,ceil,4,0.8806250095367432,0.8525000214576721,0.8700000047683716,0.3508658707141876
42,64,10,nearest,8,0.9850000143051147,0.9549999833106995,0.9624999761581421,0.12663093209266663
42,64,10,nearest,4,0.8793749809265137,0.8149999976158142,0.8650000095367432,0.3783532381057739
42,64,10,floor,8,0.9831249713897705,0.949999988079071,0.9674999713897705,0.12297885864973068
42,64,10,floor,4,0.8681250214576721,0.8500000238418579,0.8700000047683716,0.31015536189079285
42,64,10,ceil,8,0.9868749976158142,0.9649999737739563,0.9725000262260437,0.08996353298425674
42,64,10,ceil,4,0.7306249737739563,0.6949999928474426,0.7774999737739563,0.9430633783340454
42,128,2,nearest,8,0.8418750166893005,0.7174999713897705,0.7225000262260437,0.47254082560539246
42,128,2,nearest,4,0.9624999761581421,0.925000011920929,0.9325000047683716,0.21343658864498138
42,128,2,floor,8,0.7881249785423279,0.6800000071525574,0.6825000047683716,0.5210887789726257
42,128,2,floor,4,0.9618750214576721,0.925000011920929,0.9275000095367432,0.20600126683712006
42,128,2,ceil,8,0.859375,0.7524999976158142,0.7350000143051147,0.45834118127822876
42,128,2,ceil,4,0.9524999856948853,0.9049999713897705,0.9225000143051147,0.24515801668167114
42,128,4,nearest,8,0.9868749976158142,0.9725000262260437,0.9775000214576721,0.08428996056318283
42,128,4,nearest,4,0.9137499928474426,0.9125000238418579,0.8974999785423279,0.2851450443267822
42,128,4,floor,8,0.9887499809265137,0.9674999713897705,0.9800000190734863,0.09075218439102173
42,128,4,floor,4,0.9256250262260437,0.8824999928474426,0.9049999713897705,0.27587082982063293
42,128,4,ceil,8,0.9887499809265137,0.9649999737739563,0.9775000214576721,0.08823687583208084
42,128,4,ceil,4,0.9381250143051147,0.9150000214576721,0.9150000214576721,0.22726322710514069
42,128,6,nearest,8,0.9881250262260437,0.9599999785423279,0.9800000190734863,0.1018601581454277
42,128,6,nearest,4,0.925000011920929,0.8774999976158142,0.9049999713897705,0.31909891963005066
42,128,6,floor,8,0.9912499785423279,0.9624999761581421,0.9750000238418579,0.12403396517038345
42,128,6,floor,4,0.8981249928474426,0.8475000262260437,0.9175000190734863,0.30506953597068787
42,128,6,ceil,8,0.987500011920929,0.9649999737739563,0.9800000190734863,0.11177361756563187
42,128,6,ceil,4,0.7850000262260437,0.7825000286102295,0.8974999785423279,0.8860853314399719
42,128,8,nearest,8,0.9887499809265137,0.9674999713897705,0.9800000190734863,0.10394113510847092
42,128,8,nearest,4,0.84375,0.8550000190734863,0.8575000166893005,0.3628215491771698
42,128,8,floor,8,0.9893749952316284,0.9649999737739563,0.9800000190734863,0.10927925258874893
42,128,8,floor,4,0.6343749761581421,0.574999988079071,0.8374999761581421,0.6156618595123291
42,128,8,ceil,8,0.9925000071525574,0.9750000238418579,0.9750000238418579,0.12213434278964996
42,128,8,ceil,4,0.6856250166893005,0.625,0.8299999833106995,1.0364465713500977
42,128,10,nearest,8,0.9918749928474426,0.9574999809265137,0.9750000238418579,0.10628747195005417
42,128,10,nearest,4,0.8618749976158142,0.8125,0.8650000095367432,0.32467424869537354
42,128,10,floor,8,0.9906250238418579,0.9725000262260437,0.9775000214576721,0.07989314943552017
42,128,10,floor,4,0.8818749785423279,0.8924999833106995,0.9125000238418579,0.26473286747932434
42,128,10,ceil,8,0.9893749952316284,0.9674999713897705,0.9725000262260437,0.10329102724790573
42,128,10,ceil,4,0.890625,0.8324999809265137,0.8949999809265137,0.3893601894378662
123,4,2,nearest,8,0.5487499833106995,0.5099999904632568,0.5325000286102295,0.7006163597106934
123,4,2,nearest,4,0.8237500190734863,0.762499988079071,0.7699999809265137,0.5340558290481567
123,4,2,floor,8,0.565625011920929,0.5249999761581421,0.5299999713897705,0.6970279216766357
123,4,2,floor,4,0.7950000166893005,0.7724999785423279,0.7674999833106995,0.5297356247901917
123,4,2,ceil,8,0.5649999976158142,0.5274999737739563,0.5299999713897705,0.6972061395645142
123,4,2,ceil,4,0.7912499904632568,0.7225000262260437,0.7400000095367432,0.5499705672264099
123,4,4,nearest,8,0.5631250143051147,0.47999998927116394,0.5074999928474426,0.6916146874427795
123,4,4,nearest,4,0.6556249856948853,0.625,0.625,0.64327073097229
123,4,4,floor,8,0.5387499928474426,0.4749999940395355,0.4925000071525574,0.6938814520835876
123,4,4,floor,4,0.565625011920929,0.5149999856948853,0.6000000238418579,0.6744648218154907
123,4,4,ceil,8,0.5375000238418579,0.4749999940395355,0.5375000238418579,0.692097544670105
123,4,4,ceil,4,0.690625011920929,0.6625000238418579,0.6800000071525574,0.6462244391441345
123,4,6,nearest,8,0.528124988079071,0.5475000143051147,0.550000011920929,0.6888386607170105
123,4,6,nearest,4,0.6793749928474426,0.6549999713897705,0.6399999856948853,0.6659586429595947
123,4,6,floor,8,0.5462499856948853,0.5525000095367432,0.5699999928474426,0.6885241866111755
123,4,6,floor,4,0.6737499833106995,0.6324999928474426,0.6625000238418579,0.6323136687278748
123,4,6,ceil,8,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6913961172103882
123,4,6,ceil,4,0.7281249761581421,0.6650000214576721,0.7074999809265137,0.6810044050216675
123,4,8,nearest,8,0.559374988079071,0.5299999713897705,0.5299999713897705,0.6922332048416138
123,4,8,nearest,4,0.8343750238418579,0.7749999761581421,0.7749999761581421,0.6665876507759094
123,4,8,floor,8,0.5512499809265137,0.5174999833106995,0.5149999856948853,0.692735493183136
123,4,8,floor,4,0.78125,0.7275000214576721,0.7724999785423279,0.5607857704162598
123,4,8,ceil,8,0.5256249904632568,0.4975000023841858,0.5149999856948853,0.6921679973602295
123,4,8,ceil,4,0.5037500262260437,0.48500001430511475,0.48500001430511475,0.6934715509414673
